id	symbol	desc	biotype	num_transcripts	num_coding_transcripts	num_introns	H+.M+.25.0_vs_H+.M+.37.10.worst_fdr	H+.M+.25.0_vs_H+.M+.37.10.log2fc	H+.M+.25.0_vs_H+.M+.37.40.worst_fdr	H+.M+.25.0_vs_H+.M+.37.40.log2fc	H+.M+.25.0_vs_H+.M+.42.10.worst_fdr	H+.M+.25.0_vs_H+.M+.42.10.log2fc	H+.M+.25.0_vs_H+.M+.42.40.worst_fdr	H+.M+.25.0_vs_H+.M+.42.40.log2fc	H+.M-.25.0_vs_H+.M-.37.10.worst_fdr	H+.M-.25.0_vs_H+.M-.37.10.log2fc	H+.M-.25.0_vs_H+.M-.37.40.worst_fdr	H+.M-.25.0_vs_H+.M-.37.40.log2fc	H+.M-.25.0_vs_H+.M-.42.10.worst_fdr	H+.M-.25.0_vs_H+.M-.42.10.log2fc	H+.M-.25.0_vs_H+.M-.42.40.worst_fdr	H+.M-.25.0_vs_H+.M-.42.40.log2fc	H-.M+.25.0_vs_H-.M+.37.10.worst_fdr	H-.M+.25.0_vs_H-.M+.37.10.log2fc	H-.M+.25.0_vs_H-.M+.37.40.worst_fdr	H-.M+.25.0_vs_H-.M+.37.40.log2fc	H-.M+.25.0_vs_H-.M+.42.10.worst_fdr	H-.M+.25.0_vs_H-.M+.42.10.log2fc	H-.M+.25.0_vs_H-.M+.42.40.worst_fdr	H-.M+.25.0_vs_H-.M+.42.40.log2fc	H-.M-.25.0_vs_H-.M-.37.10.worst_fdr	H-.M-.25.0_vs_H-.M-.37.10.log2fc	H-.M-.25.0_vs_H-.M-.37.40.worst_fdr	H-.M-.25.0_vs_H-.M-.37.40.log2fc	H-.M-.25.0_vs_H-.M-.42.10.worst_fdr	H-.M-.25.0_vs_H-.M-.42.10.log2fc	H-.M-.25.0_vs_H-.M-.42.40.worst_fdr	H-.M-.25.0_vs_H-.M-.42.40.log2fc
YNR002C	ATO2	Putative transmembrane protein involved in export of ammonia, a starvation signal that promotes cell death in aging colonies; phosphorylated in mitochondria; member of the TC 9.B.33 YaaH family; homolog of Ady2p and Y. lipolytica Gpr1p	protein_coding	1	1	0	2.721e-04	3.208	4.011e-04	2.464	1.489e-04	3.498	5.339e-05	3.945	0.006	1.843	0.340	0.581	0.030	1.418	0.046	0.897	0.001	3.164	9.472e-04	2.617	2.649e-04	3.382	1.115e-04	3.749	0.275	1.270	1.000	0.000e+00	0.037	1.647	0.190	0.949
YGL217C	YGL217C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF KIP3/YGL216W	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.010	2.518
YJL029C	VPS53	Component of the GARP (Golgi-associated retrograde protein) complex, Vps51p-Vps52p-Vps53p-Vps54p, which is required for the recycling of proteins from endosomes to the late Golgi; required for vacuolar protein sorting	protein_coding	1	1	0	0.121	0.371	0.416	0.122	0.129	0.255	1.000	0.000e+00	1.000	-0.042	1.000	0.000e+00	0.885	0.017	0.439	-0.205	0.519	0.216	0.921	0.113	0.316	0.227	1.000	0.000e+00	1.000	0.028	1.000	-0.003	1.000	0.000e+00	1.000	0.000e+00
YNL214W	PEX17	Peroxisomal membrane peroxin and subunit of the docking complex that facilitates the import of peroxisomal matrix proteins; required for peroxisome biogenesis	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	0.222	0.415	0.629	0.142	0.422	0.333	0.170	0.417	1.000	0.000e+00	1.000	-0.129	0.168	0.810	0.135	0.769	0.267	0.525	0.656	0.264	0.556	0.589	0.132	0.836	0.864	0.204	1.000	-0.165
YPL089C	RLM1	MADS-box transcription factor, component of the protein kinase C-mediated MAP kinase pathway involved in the maintenance of cell integrity; phosphorylated and activated by the MAP-kinase Slt2p	protein_coding	1	1	0	0.001	0.928	2.291e-04	0.885	0.004	0.591	5.339e-05	1.466	1.000	0.068	0.047	0.474	0.075	0.453	8.612e-05	1.038	1.000	0.000e+00	0.057	0.574	0.368	0.275	0.023	0.787	1.000	0.120	0.104	0.560	0.366	0.243	0.043	0.585
YAL062W	GDH3	NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources	protein_coding	1	1	0	1.000	0.000e+00	0.001	2.016	0.149	0.724	0.003	1.640	0.073	1.063	0.003	1.954	0.686	0.299	0.070	0.827	0.081	1.173	0.015	1.767	1.000	0.000e+00	0.016	1.484	0.466	0.913	0.359	0.792	0.420	0.705	0.771	0.344
YBR054W	YRO2	Protein of unknown function with similarity to archaeal rhodopsins; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies; transcriptionally regulated by Haa1p	protein_coding	1	1	0	2.245e-04	1.190	2.291e-04	0.935	0.002	1.207	0.002	0.985	9.128e-04	0.896	0.002	0.991	0.518	0.175	0.039	0.494	0.005	0.737	1.988e-04	1.062	0.023	0.723	0.003	0.849	0.070	0.573	0.001	1.121	0.751	0.099	0.132	0.363
YBR187W	GDT1	Putative protein of unknown function; expression is reduced in a gcr1 null mutant; GFP-fusion protein localizes to the vacuole; expression pattern and physical interactions suggest a possible role in ribosome biogenesis	protein_coding	1	1	0	0.003	-0.894	0.421	-0.218	0.011	-0.539	5.339e-05	-1.209	0.011	-0.450	0.293	-0.151	0.004	-0.727	1.331e-04	-0.897	0.039	-0.580	1.988e-04	-1.407	0.078	-0.466	7.395e-04	-0.853	0.262	-0.387	0.003	-0.810	0.283	-0.305	0.002	-0.787
YML010W	SPT5	Protein involved in regulating Pol I and Pol II transcription and pre-mRNA processing; forms a complex with Spt4p; contains a C-terminal repeat domain that is a target for phosphorylation by Sgv1p	protein_coding	1	1	0	0.006	-0.974	9.773e-04	-0.631	0.004	-0.810	1.182e-04	-0.936	0.047	-0.332	0.003	-0.548	0.412	-0.256	0.053	-0.362	0.161	-0.398	0.005	-0.652	0.029	-0.592	0.007	-0.679	0.347	-0.332	0.634	-0.122	0.508	-0.224	0.073	-0.430
YBR055C	PRP6	Splicing factor, component of the U4/U6-U5 snRNP complex	protein_coding	1	1	0	0.006	-1.112	0.029	-0.379	0.001	-1.069	3.662e-04	-0.808	0.015	-0.549	0.132	-0.246	0.261	-0.356	0.116	-0.391	1.000	-0.003	0.187	-0.361	0.604	-0.265	0.803	-0.150	1.000	-0.065	0.845	-0.093	0.279	-0.318	1.000	0.000e+00
YOR205C	GEP3	Protein of unknown function; null mutant is defective in respiration and interacts synthetically with prohibitin (phb1); the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies	protein_coding	1	1	0	0.284	-0.267	1.000	0.000e+00	2.316e-04	-1.076	1.251e-04	-0.803	6.838e-04	-0.830	0.309	-0.155	0.016	-0.683	0.003	-0.559	0.601	-0.312	0.650	-0.183	0.011	-0.716	0.201	-0.286	0.988	-0.103	0.293	-0.228	0.016	-0.721	0.075	-0.386
YPR181C	SEC23	GTPase-activating protein, stimulates the GTPase activity of Sar1p; component of the Sec23p-Sec24p heterodimer of the COPII vesicle coat, involved in ER to Golgi transport; substrate of Ubp3/Bre5 complex; ubiquitylated by Ub-ligase Rsp5p; proteasome /.../ted degradation of Sec23p is regulated by Cdc48p	protein_coding	1	1	0	0.282	0.238	0.453	0.164	1.000	0.000e+00	0.361	0.197	1.000	0.000e+00	1.000	-0.008	0.811	-0.228	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.943	-0.105	1.000	-0.103	1.000	0.000e+00	0.829	-0.267	0.356	-0.413
YBL071W-A	KTI11	Zn-ribbon protein that co-purifies with Dph1 and Dph2 in a complex required for synthesis of diphthamide on translation factor eEF2 and with Elongator subunits Iki3p, Elp2p, and Elp3p involved in modification of wobble nucleosides in tRNAs	protein_coding	1	1	0	0.053	-1.198	0.214	-0.533	0.804	0.092	0.008	-1.220	0.033	-1.299	1.000	0.000e+00	0.523	0.231	0.609	-0.368	0.140	-1.240	0.012	-1.777	1.000	0.000e+00	0.446	-0.391	1.000	-0.275	0.237	-0.862	0.347	0.446	1.000	0.100
YHR209W	CRG1	S-AdoMet-dependent methyltransferase involved in lipid homeostasis; mediates resistance to a drug cantharidin	protein_coding	1	1	0	0.001	1.150	2.291e-04	1.302	0.455	0.186	0.101	0.453	0.025	0.735	5.282e-04	1.387	0.718	0.083	0.022	-0.693	0.002	1.151	1.988e-04	1.729	0.222	0.298	0.075	0.424	1.000	0.147	0.113	0.488	1.000	-0.025	0.022	-0.875
YBR188C	NTC20	Member of the NineTeen Complex (NTC) that contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs	protein_coding	1	1	0	0.981	-0.157	0.425	0.168	0.870	0.058	0.941	0.000e+00	0.506	0.191	0.231	0.248	1.000	0.010	1.000	-0.019	0.629	0.236	0.519	0.237	0.644	0.130	1.000	0.000e+00	0.621	0.363	0.193	0.511	1.000	0.058	1.000	0.000e+00
YML011C	RAD33	Protein involved in nucleotide excision repair; green fluorescent protein (GFP)-fusion protein localizes to the nucleus	protein_coding	1	1	0	0.133	-0.763	0.821	-0.164	0.398	-0.364	1.000	0.000e+00	0.970	0.145	0.448	0.268	0.592	0.271	0.015	0.674	0.911	-0.365	1.000	-0.063	1.000	-0.362	0.898	0.049	1.000	0.160	0.470	0.374	1.000	0.000e+00	0.112	0.598
YDR459C	PFA5	Palmitoyltransferase with autoacylation activity; likely functions in pathway(s) outside Ras; member of a family of putative palmitoyltransferases containing an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain	protein_coding	1	1	0	0.014	-0.822	0.032	-0.395	0.006	-0.699	0.010	-0.583	0.143	-0.285	0.941	-0.071	0.132	-0.467	0.702	-0.111	0.448	-0.324	0.039	-0.609	0.247	-0.432	1.000	-0.065	0.982	-0.142	0.518	-0.198	1.000	0.000e+00	1.000	0.015
YDR325W	YCG1	Subunit of the condensin complex; required for establishment and maintenance of chromosome condensation, chromosome segregation and chromatin binding of the condensin complex; required for clustering of tRNA genes at the nucleolus	protein_coding	1	1	0	0.189	-0.787	0.181	-0.367	0.570	-0.224	0.052	-0.519	1.000	-0.068	1.000	0.000e+00	0.178	-0.915	0.001	-1.872	1.000	0.000e+00	0.098	-0.805	1.000	0.000e+00	0.312	0.403	1.000	6.563e-04	0.576	-0.311	0.196	-0.717	0.072	-0.863
YGL216W	KIP3	Kinesin-related motor protein involved in mitotic spindle positioning	protein_coding	1	1	0	0.989	-0.158	1.000	0.000e+00	0.686	-0.157	1.000	0.000e+00	0.852	-0.067	0.280	-0.179	0.435	-0.284	1.000	-0.080	0.252	-0.363	0.132	-0.373	0.611	-0.203	1.000	0.000e+00	0.923	-0.136	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00
YOR337W	TEA1	Ty1 enhancer activator required for full levels of Ty enhancer-mediated transcription; C6 zinc cluster DNA-binding protein	protein_coding	1	1	0	0.002	-1.116	1.000	0.000e+00	3.551e-04	-1.019	0.002	-0.807	7.828e-04	-0.798	1.000	0.000e+00	0.119	-0.513	1.000	-0.065	0.002	-0.992	7.796e-04	-0.992	0.018	-0.714	0.006	-0.688	0.235	-0.368	0.166	-0.321	0.591	-0.165	1.000	0.000e+00
YOR204W	DED1	ATP-dependent DEAD (Asp-Glu-Ala-Asp)-box RNA helicase, required for translation initiation of all yeast mRNAs; mutations in human DEAD-box DBY are a frequent cause of male infertility	protein_coding	1	1	0	0.134	-0.309	0.107	-0.315	1.000	0.000e+00	1.000	0.000e+00	0.170	-0.247	0.009	-0.424	1.000	-0.003	0.426	0.121	0.032	-0.690	0.005	-0.746	0.446	-0.318	0.020	-0.676	0.522	-0.358	0.136	-0.518	1.000	-0.151	0.146	-0.438
YGR006W	PRP18	Splicing factor involved in the positioning of the 3' splice site during the second catalytic step of splicing, part of snRNP U5, interacts with Slu7p	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.996	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.459	0.168	0.905	-0.138	0.438	0.332	0.775	0.182	0.693	0.166	0.512	0.186	1.000	0.215	1.000	0.023	1.000	0.055	0.441	0.247
YAL061W	BDH2	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3	protein_coding	1	1	0	2.245e-04	4.404	0.001	2.248	1.489e-04	3.854	0.001	4.362	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	6.510e-04	4.519	1.988e-04	3.353	3.874e-04	3.654	1.115e-04	4.488	1.000	0.000e+00	1.000	0.000e+00	0.309	0.875	0.078	1.285
YMR066W	SOV1	Mitochondrial protein of unknown function	protein_coding	1	1	0	0.846	-0.205	0.204	-0.402	0.577	-0.226	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.121	0.755	0.091	0.599	0.929	0.131	0.786	0.181	1.000	-0.121	0.117	0.559	1.000	0.000e+00	0.804	0.250	0.798	0.127	0.115	0.637
YNL213C	RRG9	Protein of unknown function; null mutant lacks mitochondrial DNA and cannot grow on glycerol; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	protein_coding	1	1	0	0.038	-1.366	0.004	-1.181	0.135	-0.536	0.005	-0.946	1.000	-0.036	0.429	-0.331	0.524	0.399	0.818	0.118	1.000	-0.004	0.394	-0.792	0.969	-0.461	1.000	0.000e+00	0.967	-0.318	1.000	-0.115	1.000	-0.131	0.323	0.440
YMR199W	CLN1	G1 cyclin involved in regulation of the cell cycle; activates Cdc28p kinase to promote the G1 to S phase transition; late G1 specific expression depends on transcription factor complexes, MBF (Swi6p-Mbp1p) and SBF (Swi6p-Swi4p)	protein_coding	1	1	0	0.662	-0.200	1.000	0.003	2.316e-04	-0.952	5.339e-05	-1.812	0.012	-0.480	0.158	-0.257	3.590e-04	-1.877	8.612e-05	-2.375	0.281	-0.439	1.988e-04	-1.768	0.021	-0.625	1.498e-04	-1.211	0.663	-0.216	3.677e-04	-1.206	9.983e-04	-1.355	1.727e-04	-1.768
YFL016C	MDJ1	Co-chaperone that stimulates the ATPase activity of the HSP70 protein Ssc1p; involved in protein folding/refolding in the mitochodrial matrix; required for proteolysis of misfolded proteins; member of the HSP40 (DnaJ) family of chaperones	protein_coding	1	1	0	2.245e-04	1.489	5.898e-04	0.746	1.489e-04	1.803	5.339e-05	1.693	2.709e-04	1.129	0.208	0.182	3.590e-04	1.288	8.612e-05	1.400	0.001	0.950	0.043	0.636	0.012	0.614	3.080e-04	1.004	0.541	0.362	0.714	0.221	0.664	0.157	0.635	0.109
YNR001C	CIT1	Citrate synthase, catalyzes the condensation of acetyl coenzyme A and oxaloacetate to form citrate; the rate-limiting enzyme of the TCA cycle; nuclear encoded mitochondrial protein	protein_coding	1	1	0	2.245e-04	1.011	0.276	0.182	1.489e-04	1.183	5.339e-05	0.760	0.002	0.649	1.000	0.000e+00	0.029	0.485	0.263	0.172	0.002	0.932	0.234	0.350	4.711e-04	0.965	0.001	0.814	0.013	0.801	0.001	-0.926	0.015	0.539	0.188	0.271
YMR067C	UBX4	UBX domain-containing protein that interacts with Cdc48p; involved in degradation of polyubiquitinated proteins via the ERAD (ER-associated degradation) pathway; modulates the Cdc48p-Nplp-Ufd1p AAA ATPase complex during its role in delivery of misfo /.../roteins to the proteasome	protein_coding	1	1	0	0.077	0.387	0.184	0.187	1.000	0.000e+00	0.082	0.244	0.036	0.357	0.843	0.089	0.645	0.127	0.098	0.223	1.000	0.000e+00	0.920	0.094	1.000	0.000e+00	1.000	-0.087	1.000	0.036	0.576	0.240	1.000	-0.086	0.435	-0.219
YJL200C	ACO2	Putative mitochondrial aconitase isozyme; similarity to Aco1p, an aconitase required for the TCA cycle; expression induced during growth on glucose, by amino acid starvation via Gcn4p, and repressed on ethanol	protein_coding	1	1	0	0.001	-1.897	0.027	-0.366	2.970e-04	-0.951	5.339e-05	-3.187	2.709e-04	-1.797	0.008	-0.530	0.005	-0.889	8.612e-05	-2.534	9.132e-04	-1.472	1.988e-04	-2.595	0.004	-0.757	1.115e-04	-3.792	0.105	-0.553	3.352e-04	-1.672	0.043	-0.554	1.727e-04	-2.189
YDR326C	YSP2	Protein involved in programmed cell death; mutant shows resistance to cell death induced by amiodarone or intracellular acidification	protein_coding	1	1	0	1.000	0.103	0.749	0.090	0.045	-0.513	1.000	0.000e+00	1.000	0.000e+00	0.895	-0.057	0.049	-0.569	0.005	-0.647	0.851	-0.198	0.369	-0.236	0.562	-0.263	1.000	0.000e+00	1.000	-0.125	0.109	-0.424	0.222	-0.346	0.876	-0.091
YAL065C	YAL065C	hypothetical protein	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.935	0.035
YGR003W	CUL3	Ubiquitin-protein ligase, forms a complex with Elc1p that polyubiquitylates monoubiquitylated RNA polymerase II to trigger its proteolysis; cullin family member with similarity to Cdc53p and human CUL3	protein_coding	1	1	0	0.004	-1.536	0.003	-0.681	1.000	0.000e+00	1.000	0.000e+00	0.837	0.159	0.798	0.128	0.008	1.047	8.612e-05	1.355	0.530	-0.324	0.385	-0.308	0.853	0.052	0.006	0.922	1.000	0.000e+00	0.043	0.914	0.007	1.033	3.228e-04	1.637
YGL215W	CLG1	Cyclin-like protein that interacts with Pho85p; has sequence similarity to G1 cyclins PCL1 and PCL2	protein_coding	1	1	0	0.386	0.202	0.594	0.112	1.000	-0.033	1.000	0.000e+00	0.084	-0.311	0.332	-0.157	0.121	-0.519	9.554e-04	-0.575	0.605	-0.311	0.476	-0.218	0.942	-0.120	0.659	-0.178	0.652	-0.251	0.079	-0.554	0.033	-0.574	0.004	-0.730
YFL012W	YFL012W	hypothetical protein	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.950e-04	4.540	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	8.612e-05	5.192	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	5.476e-04	3.006	1.000	0.000e+00	0.001	4.205	1.000	0.000e+00	1.727e-04	4.995
YJL201W	ECM25	Non-essential protein of unknown function; promoter contains a consensus binding sequence for factor Abf1p	protein_coding	1	1	0	1.000	0.000e+00	0.203	0.188	0.171	0.224	1.000	0.000e+00	0.875	-0.042	1.000	0.052	0.074	0.343	0.380	0.100	1.000	-0.068	1.000	0.000e+00	0.530	0.140	1.000	-0.088	1.000	0.000e+00	0.982	0.098	0.099	0.329	0.707	0.064
YML013W	UBX2	Protein involved in ER-associated protein degradation; proposed to coordinate the assembly of proteins involved in ERAD; contains a UBX (ubiquitin regulatory X) domain and a ubiquitin-associated (UBA) domain	protein_coding	1	1	0	4.570e-04	0.922	0.007	0.491	0.002	0.650	8.766e-05	0.801	0.638	0.207	1.000	0.061	1.000	0.000e+00	0.505	0.142	0.528	0.246	0.152	0.556	0.260	0.308	0.499	0.200	1.000	0.000e+00	0.638	0.215	1.000	0.000e+00	1.000	-0.058
YOR336W	KRE5	Protein required for beta-1,6 glucan biosynthesis; mutations result in aberrant morphology and severe growth defects	protein_coding	1	1	0	0.304	-0.460	1.000	0.002	0.112	-0.440	0.082	0.313	0.325	0.258	0.045	0.472	0.607	0.148	8.612e-05	1.093	0.711	0.141	0.002	1.139	0.410	-0.286	0.060	0.557	1.000	0.072	3.677e-04	1.548	1.000	0.000e+00	8.421e-04	1.073
SCR1	SCR1	RNA subunit of the Signal Recognition Particle (SRP)	ncRNA	1	0	0	1.000	0.000e+00	0.928	0.000e+00	0.538	0.617	0.148	1.545	0.167	0.693	1.000	0.000e+00	0.009	1.681	1.331e-04	2.028	0.040	1.355	0.002	2.185	0.003	1.928	7.414e-04	2.558	0.164	1.076	0.002	1.916	0.019	1.396	6.259e-04	2.085
YGR136W	LSB1	Protein containing an N-terminal SH3 domain; binds Las17p, which is a homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly and actin polymerization	protein_coding	1	1	0	0.003	0.713	0.011	0.396	2.974e-04	0.764	5.339e-05	0.822	0.138	0.248	0.216	0.188	0.042	0.416	1.845e-04	0.561	0.905	0.051	0.472	0.219	0.161	0.338	0.092	0.406	1.000	0.022	1.000	0.000e+00	0.799	0.057	0.793	0.089
